     x      y
0.2125 -0.1574
-0.1513 -0.2506
-0.4272 -0.0162
-0.0153 -0.0888
-0.1281 0.0646
0.0109 0.4075
0.3196 0.2117
0.2051 0.4865
0.4098 0.5598
0.5736 0.3243
0.3283 -0.2812
-0.3078 -0.4707
-0.5282 -0.2078
-0.2258 -0.0508
-0.0904 0.3518
0.8349 0.8427
0.8916 0.8282
0.6258 0.4741
-0.0809 -0.6331
-0.6819 -0.6299
-0.7597 -0.4332
1.0249 0.9041
0.8982 0.7562
0.7850 1.1783
0.9591 0.2932
-0.8314 -0.6956
-0.1920 -0.1118
-0.2682 0.2390
0.3487 0.5231
0.8290 0.9447
0.9419 1.1566
-0.0754 -0.2806
-0.2090 -0.1914
-0.3165 -0.4744
-0.4658 -0.4989
-0.3680 -0.7562
-0.6581 -0.5868
-0.6128 -0.6175
-0.6160 -0.5459
-0.4438 -0.3399
-0.1680 -0.0748
0.0169 0.0975
0.0983 0.0353
0.0251 -0.6550
-0.6331 -0.8339
-0.7562 -0.9377
-0.4631 -0.4467
-0.3218 -0.1077
0.0892 0.2201
0.8638 -0.7960
-0.7593 -0.6211
-0.5355 -0.9190
-0.9869 -0.9561
-0.9499 -0.8951
-0.8421 -0.6589
-0.0670 0.7137
-0.7542 -0.9983
-1.4876 -1.4068
-1.3656 -2.0698
-1.7803 -1.5993
-1.6017 -1.1774
-1.1594 -1.1418
